date,batter_id,batter_first,batter_last,pitcher_id,pitcher_first,pitcher_last,balls,strikes,pitch_sequence
2021-07-11,12,Xander Jan,Bogaerts,80,Ranger Jose,Suarez,2,2,BCSBFC
2021-07-22,29,Brett M.,Gardner,81,Tanner,Houck,1,2,BCFS
2021-07-22,12,Xander Jan,Bogaerts,82,Jordan Blackmon,Montgomery,2,2,CSBBFF*S
2021-07-22,30,Gleyber David,Torres,81,Tanner,Houck,3,2,BCCBBS
2021-07-22,31,Robert Jacob,Brantly,81,Tanner,Houck,0,2,CFFF1S
2021-07-22,32,Gregory Lomack,Allen,81,Tanner,Houck,0,2,CS1C
2021-07-22,9,Julio Daniel,Martinez,82,Jordan Blackmon,Montgomery,0,2,FF*S
2021-07-22,33,Tyler Dean,Wade,81,Tanner,Houck,3,2,CBBBC*S
2021-07-22,34,David John,LeMahieu,81,Tanner,Houck,1,2,CFBS
2021-07-22,17,Enrique J.,Hernandez,82,Jordan Blackmon,Montgomery,1,2,BSC*S
2021-07-22,35,Rougned Roberto,Odor,81,Tanner,Houck,1,2,BCF*S
2021-07-22,2,Dustin Hunter,Renfroe,82,Jordan Blackmon,Montgomery,1,2,CFBS
2021-07-22,32,Gregory Lomack,Allen,81,Tanner,Houck,2,2,BFBCC
2021-07-22,25,Robert Vernon,Dalbec,82,Jordan Blackmon,Montgomery,2,2,CSBB*S
2021-07-22,26,Michael Scott,Chavis,82,Jordan Blackmon,Montgomery,1,2,FSB*S
2021-07-22,35,Rougned Roberto,Odor,83,Joshua Earl,Taylor,1,2,BFFS
2021-07-22,31,Robert Jacob,Brantly,83,Joshua Earl,Taylor,1,2,S*B1>C.S
2021-07-22,36,Estevan Haniel,Florial,67,Darwinzon David,Hernandez,1,2,SCBT
2021-07-22,33,Tyler Dean,Wade,67,Darwinzon David,Hernandez,1,2,CTBC
2021-07-22,31,Robert Jacob,Brantly,79,Adam Robert,Ottavino,2,2,BBCFS
2021-07-22,28,Christian Rafael,Vazquez,84,Chad Keith,Green,0,2,.SFFC
2021-07-22,37,Giancarlo Cruz-Michael,Stanton,85,Matthew David,Barnes,1,2,CSBF*S
2021-07-22,9,Julio Daniel,Martinez,86,Brooks Joseph,Kriske,3,2,F*B.BB.FS
2021-07-23,37,Giancarlo Cruz-Michael,Stanton,87,Eduardo Jose (Hernandez),Rodriguez,0,2,CSS
2021-07-23,38,Jarren William,Duran,88,Gerrit Alan,Cole,2,2,CBSBS
2021-07-23,14,Rafael Calcano,Devers,88,Gerrit Alan,Cole,3,2,BFBCFB>C
2021-07-23,39,Christopher Ryan,Gittens,89,Phillips Chalier,Valdez,0,2,.CFS
2021-07-23,32,Gregory Lomack,Allen,89,Phillips Chalier,Valdez,2,2,C*BBCS
2021-07-23,34,David John,LeMahieu,89,Phillips Chalier,Valdez,1,2,BCFC
2021-07-23,9,Julio Daniel,Martinez,88,Gerrit Alan,Cole,0,2,CFC
2021-07-23,8,Alex Brady,Verdugo,88,Gerrit Alan,Cole,1,2,CFBS
2021-07-23,40,Gary,Sanchez,89,Phillips Chalier,Valdez,2,2,1*BCSB11S
2021-07-23,12,Xander Jan,Bogaerts,88,Gerrit Alan,Cole,3,2,BBFBSC
2021-07-23,14,Rafael Calcano,Devers,88,Gerrit Alan,Cole,3,2,S*BBFFB>F>S
2021-07-23,30,Gleyber David,Torres,89,Phillips Chalier,Valdez,3,2,BSBBCFFS
2021-07-23,29,Brett M.,Gardner,89,Phillips Chalier,Valdez,3,2,BCBBLFT
2021-07-23,41,Ryan M.,LaMarre,89,Phillips Chalier,Valdez,3,2,BC*BBS>S
2021-07-23,28,Christian Rafael,Vazquez,88,Gerrit Alan,Cole,1,2,CS*BC
2021-07-23,32,Gregory Lomack,Allen,65,Yacksel,Rios,0,2,.CS*S
2021-07-23,25,Robert Vernon,Dalbec,88,Gerrit Alan,Cole,3,2,BSFBBC
2021-07-23,2,Dustin Hunter,Renfroe,90,Nestor,Cortes,1,2,CFBC
2021-07-23,36,Estevan Haniel,Florial,72,Garrett Getts,Whitlock,2,2,..CFBBS
2021-07-23,25,Robert Vernon,Dalbec,90,Nestor,Cortes,3,2,..BBFSBS
2021-07-23,12,Xander Jan,Bogaerts,90,Nestor,Cortes,3,2,BBBCFC
2021-07-23,29,Brett M.,Gardner,67,Darwinzon David,Hernandez,1,2,CBCC
2021-07-23,36,Estevan Haniel,Florial,67,Darwinzon David,Hernandez,1,2,CFFBFS
2021-07-23,2,Dustin Hunter,Renfroe,91,Justin James,Wilson,1,2,BFFC
2021-07-24,37,Giancarlo Cruz-Michael,Stanton,54,Nathan Edward,Eovaldi,1,2,CBFS
2021-07-24,35,Rougned Roberto,Odor,54,Nathan Edward,Eovaldi,0,2,SFFS
2021-07-24,12,Xander Jan,Bogaerts,92,Jameson Lee,Taillon,1,2,FFBS
2021-07-24,30,Gleyber David,Torres,54,Nathan Edward,Eovaldi,0,2,FFS
2021-07-24,32,Gregory Lomack,Allen,54,Nathan Edward,Eovaldi,0,2,CFFC
2021-07-24,26,Michael Scott,Chavis,92,Jameson Lee,Taillon,1,2,BTFS
2021-07-24,29,Brett M.,Gardner,54,Nathan Edward,Eovaldi,0,2,CCS
2021-07-24,37,Giancarlo Cruz-Michael,Stanton,54,Nathan Edward,Eovaldi,0,2,CS*S
2021-07-24,30,Gleyber David,Torres,54,Nathan Edward,Eovaldi,2,2,FCBBS
2021-07-24,26,Michael Scott,Chavis,92,Jameson Lee,Taillon,1,2,SFB*S
2021-07-24,29,Brett M.,Gardner,54,Nathan Edward,Eovaldi,1,2,BFFFF*S
2021-07-24,42,Kevin Jeffrey,Plawecki,92,Jameson Lee,Taillon,1,2,CBFS
2021-07-24,42,Kevin Jeffrey,Plawecki,93,Albertin Aroldis (de la Cruz),Chapman,2,2,BBFCFS
2021-07-24,17,Enrique J.,Hernandez,93,Albertin Aroldis (de la Cruz),Chapman,2,2,C*B*BCS
2021-07-25,37,Giancarlo Cruz-Michael,Stanton,69,Martin (Jimenez),Perez,1,2,BFFS
2021-07-25,35,Rougned Roberto,Odor,69,Martin (Jimenez),Perez,0,2,CSF*S
2021-07-25,38,Jarren William,Duran,94,Domingo,German,2,2,FBSFFFBS
2021-07-25,30,Gleyber David,Torres,69,Martin (Jimenez),Perez,2,2,TBCFBC
2021-07-25,8,Alex Brady,Verdugo,94,Domingo,German,1,2,BCFF*S
2021-07-25,41,Ryan M.,LaMarre,69,Martin (Jimenez),Perez,2,2,CBBSC
2021-07-25,34,David John,LeMahieu,69,Martin (Jimenez),Perez,2,2,BCF1BC
2021-07-25,40,Gary,Sanchez,69,Martin (Jimenez),Perez,0,2,CFF*S
2021-07-25,43,Franchy (Vargas),Cordero,94,Domingo,German,1,2,BSSS
2021-07-25,38,Jarren William,Duran,94,Domingo,German,0,2,FFS
2021-07-25,14,Rafael Calcano,Devers,94,Domingo,German,0,2,CSS
2021-07-25,43,Franchy (Vargas),Cordero,94,Domingo,German,2,2,SBFBC
2021-07-25,37,Giancarlo Cruz-Michael,Stanton,83,Joshua Earl,Taylor,1,2,.*BS*SS
2021-07-25,14,Rafael Calcano,Devers,94,Domingo,German,0,2,SFS
2021-07-25,9,Julio Daniel,Martinez,94,Domingo,German,1,2,FFBS
2021-07-26,38,Jarren William,Duran,95,Thomas,Hatch,0,2,FFC
