1,L
2,R
3,R
4,R
5,R
6,L
7,R
8,L
9,R
10,R
11,L
12,R
13,R
14,L
15,L
16,R
17,R
18,R
19,R
20,R
21,L
22,R
23,R
24,L
25,R
26,R
27,R
28,R
29,L
30,R
31,L
32,L
33,L
34,R
35,L
36,L
37,R
38,L
39,R
40,R
41,R
42,R
43,L
44,R
45,R
46,L
47,L
48,R
49,R
50,R
51,R
52,R
53,R
