game id*,date,balls*,strikes*,visiting team*,batting team*,res batter*,res batter* Last,res batter* First,res batter hand*,res pitcher*,res pitcher* Last,res pitcher* First,res pitcher hand*,pitch sequence
BOS202107100,2021-07-10,1,2,PHI,home,dalbb001,Dalbec,Robert Vernon,R,faltb001,Falter,Bailey,L,CBCS
BOS202107100,2021-07-10,0,2,PHI,away,realj001,Realmuto,Jacob Tyler,R,brica001,Brice,Austin Robert,R,CSFFS
BOS202107100,2021-07-10,1,2,PHI,home,chavm001,Chavis,Michael Scott,R,hammj003,Hammer,John Dale,R,.CFBS
BOS202107100,2021-07-10,0,2,PHI,home,dever001,Devers,Rafael Calcano,L,hammj003,Hammer,John Dale,R,CFF*S
BOS202107100,2021-07-10,2,2,PHI,away,willl001,Williams,Lucas Daniel,R,brica001,Brice,Austin Robert,R,...BCSBS
BOS202107100,2021-07-10,3,2,PHI,away,torrr001,Torreyes,Ronald Alcides,R,brica001,Brice,Austin Robert,R,BCFBBC
BOS202107100,2021-07-10,2,2,PHI,home,dalbb001,Dalbec,Robert Vernon,R,brogc001,Brogdon,Connor Michael,R,CBFBS
BOS202107110,2021-07-11,1,2,PHI,away,mccua001,McCutchen,Andrew Stefan,R,piven001,Pivetta,Nicholas Johncarlo,R,BFF*S
BOS202107110,2021-07-11,2,2,PHI,away,hoskr001,Hoskins,Rhys Dean,R,piven001,Pivetta,Nicholas Johncarlo,R,CCBBC
BOS202107110,2021-07-11,1,2,PHI,home,martj006,Martinez,Julio Daniel,R,sancc002,Sanchez,Cristopher Alexis,L,BFF*S
BOS202107110,2021-07-11,2,2,PHI,away,mccua001,McCutchen,Andrew Stefan,R,piven001,Pivetta,Nicholas Johncarlo,R,CBBCC
BOS202107110,2021-07-11,3,2,PHI,away,gregd001,Gregorius,Mariekson Julius,L,piven001,Pivetta,Nicholas Johncarlo,R,FBBFFBS
BOS202107110,2021-07-11,2,2,PHI,home,bogax001,Bogaerts,Xander Jan,R,sancc002,Sanchez,Cristopher Alexis,L,BBFFS
BOS202107110,2021-07-11,2,2,PHI,away,harpb003,Harper,Bryce Aron Max,L,riosy001,Rios,Yacksel,R,BSFBS
BOS202107110,2021-07-11,0,2,PHI,away,millb002,Miller,Bradley Austin,L,hernd004,Hernandez,Darwinzon David,L,.CSFT
BOS202107110,2021-07-11,0,2,PHI,home,dever001,Devers,Rafael Calcano,L,alvaj004,Alvarado,Jose Antonio (Lizarzabal),L,.CSS
BOS202107110,2021-07-11,1,2,PHI,away,realj001,Realmuto,Jacob Tyler,R,sawah001,Sawamura,Hirokazu,R,CSB*S
BOS202107110,2021-07-11,2,2,PHI,away,hoskr001,Hoskins,Rhys Dean,R,ottaa001,Ottavino,Adam Robert,R,CBC>B.C
BOS202107110,2021-07-11,1,2,PHI,home,vazqc001,Vazquez,Christian Rafael,R,suarr001,Suarez,Ranger Jose,L,CCB1F*S
BOS202107110,2021-07-11,3,2,PHI,home,dalbb001,Dalbec,Robert Vernon,R,suarr001,Suarez,Ranger Jose,L,BCFBB1S
BOS202107110,2021-07-11,3,2,PHI,home,martj006,Martinez,Julio Daniel,R,suarr001,Suarez,Ranger Jose,L,BBCFBC
BOS202107110,2021-07-11,2,2,PHI,home,bogax001,Bogaerts,Xander Jan,R,suarr001,Suarez,Ranger Jose,L,BCSBFC
BOS202107220,2021-07-22,1,2,NYA,away,gardb001,Gardner,Brett M.,L,houct001,Houck,Tanner,R,BCFS
BOS202107220,2021-07-22,2,2,NYA,home,bogax001,Bogaerts,Xander Jan,R,montj004,Montgomery,Jordan Blackmon,L,CSBBFF*S
BOS202107220,2021-07-22,3,2,NYA,away,torrg001,Torres,Gleyber David,R,houct001,Houck,Tanner,R,BCCBBS
BOS202107220,2021-07-22,0,2,NYA,away,branr002,Brantly,Robert Jacob,L,houct001,Houck,Tanner,R,CFFF1S
BOS202107220,2021-07-22,0,2,NYA,away,alleg002,Allen,Gregory Lomack,L,houct001,Houck,Tanner,R,CS1C
